ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
52051;ahin mranov;M;27.0;170.0;57.0;Azerbaijan;AZE;2008 Summer;2008;Summer;Beijing;Boxing Men's Featherweight;Bronze
52096;Julius Munyelele Indongo;M;25.0;179.0;65.0;Namibia;NAM;2008 Summer;2008;Summer;Beijing;Boxing Men's Lightweight;
52252;"Spyridon ""Spyros"" Ioannidis";M;22.0;171.0;64.0;Greece;GRE;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Welterweight;
52371;Bernard Ngumba Ngumba;M;32.0;160.0;51.0;Kenya;KEN;2008 Summer;2008;Summer;Beijing;Boxing Men's Flyweight;
52373;Brendan Emmet Irvine;M;20.0;167.0;49.0;Ireland;IRL;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Flyweight;
52472;Pavlo Olehovych Ishchenko;M;20.0;170.0;;Ukraine;UKR;2012 Summer;2012;Summer;London;Boxing Men's Bantamweight;
52582;Ahmed Ismail El Shamy;M;28.0;183.0;81.0;Egypt;EGY;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Heavyweight;Bronze
52601;li Shamil smaylov;M;26.0;177.0;81.0;Azerbaijan;AZE;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Heavyweight;
52601;li Shamil smaylov;M;30.0;177.0;81.0;Azerbaijan;AZE;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Heavyweight;
53003;Dauda Izobo;M;28.0;;81.0;Nigeria;NGR;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Heavyweight;
53005;Emmanuel Weingkro Izonritei;M;25.0;190.0;91.0;Nigeria;NGR;2004 Summer;2004;Summer;Athina;Boxing Men's Heavyweight;
53006;Nik'oloz Izoria;M;18.0;175.0;54.0;Georgia;GEO;2004 Summer;2004;Summer;Athina;Boxing Men's Flyweight;
53006;Nik'oloz Izoria;M;22.0;175.0;54.0;Georgia;GEO;2008 Summer;2008;Summer;Beijing;Boxing Men's Featherweight;
53060;Tomasz Jaboski;M;27.0;178.0;85.0;Poland;POL;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Middleweight;
53067;Badou Jack;M;24.0;;75.0;Gambia;GAM;2008 Summer;2008;Summer;Beijing;Boxing Men's Middleweight;
53103;David Lovelle Jackson;M;24.0;173.0;60.0;United States;USA;2000 Summer;2000;Summer;Sydney;Boxing Men's Lightweight;
53120;John Jackson;M;19.0;183.0;69.0;United States Virgin Islands;ISV;2008 Summer;2008;Summer;Beijing;Boxing Men's Welterweight;
53127;Julius Jackson;M;21.0;188.0;75.0;United States Virgin Islands;ISV;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Heavyweight;
53135;Luke Jackson;M;27.0;169.0;;Australia;AUS;2012 Summer;2012;Summer;London;Boxing Men's Lightweight;
53426;Jaroslavas Jakto;M;24.0;194.0;100.0;Lithuania;LTU;2004 Summer;2004;Summer;Athina;Boxing Men's Super-Heavyweight;
53426;Jaroslavas Jakto;M;27.0;194.0;100.0;Lithuania;LTU;2008 Summer;2008;Summer;Beijing;Boxing Men's Super-Heavyweight;
53435;Igor Pawe Jakubowski;M;23.0;184.0;91.0;Poland;POL;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Heavyweight;
53662;Parkpoom Jangphonak;M;24.0;178.0;67.0;Thailand;THA;2000 Summer;2000;Summer;Sydney;Boxing Men's Welterweight;
53992;Rolandas Jaseviius;M;22.0;173.0;69.0;Lithuania;LTU;2004 Summer;2004;Summer;Athina;Boxing Men's Welterweight;
